id,artist,title,mp3url,category_id
248,B.B.King,The Thrill is Gone,Music/Blues/B.B.King - The Thrill is Gone.mp3,1
250,Mamie Smith,Crazy Blues,Music/Blues/Mamie Smith - Crazy Blues.mp3,1
251,Robert Johnson,Hellhound On My Trail,Music/Blues/Robert Johnson - Hellhound On My Trail.mp3,1
252,T-Bone Walker,Stormy Monday,Music/Blues/T-Bone Walker - Stormy Monday.mp3,1
253,Antonio Vivaldi,Four Seasons,Music/Classical/Antonio Vivaldi - Four Seasons.mp3,2
254,Bach,Brandenburg Concerto 3,Music/Classical/Bach - Brandenburg Concerto 3.mp3,2
255,Beethoven,Symphony 5,Music/Classical/Beethoven - Symphony 5.mp3,2
256,Franz Schubert,Trout Quintet,Music/Classical/Franz Schubert - Trout Quintet.mp3,2
257,George Gershwin,Rhapsody in Blue,Music/Classical/George Gershwin - Rhapsody in Blue.mp3,2
258,Charlie Daniels Band,The Devil Went Down to Georgia,Music/Country/Charlie Daniels Band - The Devil Went Down to Georgia.mp3,3
259,Hank Williams,Im So Lonesome I Could Cry,Music/Country/Hank Williams - Im So Lonesome I Could Cry.mp3,3
260,Johnny Cash,I Walk the Line,Music/Country/Johnny Cash - I Walk the Line.mp3,3
261,Tammy Wynette,Stand By Your Man,Music/Country/Tammy Wynette - Stand By Your Man.mp3,3
262,The Statler Brothers,Flowers On The Wall,Music/Country/The Statler Brothers - Flowers On The Wall.mp3,3
263,Bee Gees,Stayin Alive,Music/Disco/Bee Gees - Stayin Alive.mp3,4
264,Chic,Good Times,Music/Disco/Chic - Good Times.mp3,4
265,Gloria Gaynor,I Will Survive,Music/Disco/Gloria Gaynor - I Will Survive.mp3,4
266,Lipps Inc,Funkytown,Music/Disco/Lipps Inc - Funkytown.mp3,4
267,Village People,YMCA,Music/Disco/Village People - YMCA.mp3,4
268,2Pac,Dear Mama,Music/Hip Hop/2Pac - Dear Mama.mp3,5
269,Coolio,Gangsta Paradise,Music/Hip Hop/Coolio - Gangsta Paradise.mp3,5
270,Notorious B.I.G.,Hypnotize,Music/Hip Hop/Notorious B.I.G. - Hypnotize.mp3,5
271,Run DMC,Its Like That,Music/Hip Hop/Run DMC - Its Like That.mp3,5
272,Sugarhill Gang,Rappers Delight,Music/Hip Hop/Sugarhill Gang - Rappers Delight.mp3,5
273,Art Blakey and The Jazz Messengers,Moanin,Music/Jazz/Art Blakey and The Jazz Messengers - Moanin.mp3,6
274,John Coltrane,Giant Steps,Music/Jazz/John Coltrane - Giant Steps.mp3,6
275,Louis Armstrong,Potato Head Blues,Music/Jazz/Louis Armstrong - Potato Head Blues.mp3,6
276,Miles Davis,So What,Music/Jazz/Miles Davis - So What.mp3,6
277,Thelonious Monk,Straight No Chaser,Music/Jazz/Thelonious Monk - Straight No Chaser.mp3,6
278,Amon Amarth,Pursuit Of Vikings,Music/Metal/Amon Amarth - Pursuit Of Vikings.mp3,7
279,Hypocrisy,Apocalypse,Music/Metal/Hypocrisy - Apocalypse.mp3,7
280,Iron Maiden,The Trooper,Music/Metal/Iron Maiden - The Trooper.mp3,7
281,Metallica,Master Of Puppets,Music/Metal/Metallica - Master Of Puppets.mp3,7
282,Pantera,Cemetery Gates,Music/Metal/Pantera - Cemetery Gates.mp3,7
283,ABBA,Dancing Queen,Music/Pop/ABBA - Dancing Queen.mp3,8
284,Britney Spears,Toxic,Music/Pop/Britney Spears - Toxic.mp3,8
285,Lady GaGa,Paparazzi,Music/Pop/Lady GaGa - Paparazzi.mp3,8
286,Madonna,Like A Prayer,Music/Pop/Madonna - Like A Prayer.mp3,8
287,Michael Jackson,Billie Jean,Music/Pop/Michael Jackson - Billie Jean.mp3,8
288,Bob Marley,I Shot The Sheriff,Music/Reggae/Bob Marley - I Shot The Sheriff.mp3,9
289,Bob Marley,No Woman No Cry,Music/Reggae/Bob Marley - No Woman No Cry.mp3,9
290,Desmond Dekker,Israelites,Music/Reggae/Desmond Dekker - Israelites.mp3,9
291,The Abyssinians,Satta Massagana,Music/Reggae/The Abyssinians - Satta Massagana.mp3,9
292,Toots And The Maytals,Pressure Drop,Music/Reggae/Toots And The Maytals - Pressure Drop.mp3,9
293,AC-DC,You Shook Me All Night Long,Music/Rock/AC-DC - You Shook Me All Night Long.mp3,10
294,Deep Purple,Highway Star,Music/Rock/Deep Purple - Highway Star.mp3,10
295,Dire Straits,Sultans of Swing,Music/Rock/Dire Straits - Sultans of Swing.mp3,10
296,Jimi Hendrix,Purple Haze,Music/Rock/Jimi Hendrix - Purple Haze.mp3,10
297,The Animals,House of the Rising Sun,Music/Rock/The Animals - House of the Rising Sun.mp3,10
249,Led Zeppelin,I Can't Quit You Baby,Music/Blues/Led Zeppelin - I Can't Quit You Baby.mp3,1
691,Die Atzen Frauenarzt and Manny Marc,Disco Pogo,Music/MusicLoad/Die_Atzen_Frauenarzt__amp__Manny_Marc--Disco_Pogo__Atzen_Musik_hellip_.mp3,4
707,Nickelback,If Today Was Your Last Day,Music/MusicLoad/Nickelback--If_Today_Was_Your_Last_Day__Album_Version__-__hellip_.mp3,10
729,Bushido,Alles wird gut,Music/MusicLoad/Bushido--Alles_wird_gut_-_Album_Version.mp3,5
674,Ke$ha,TiK ToK,Music/MusicLoad/Ke_ha--TiK_ToK.mp3,4
745,Frauenarzt and Manny Marc,Das Geht Ab,Music/MusicLoad/Frauenarzt__amp__Manny_Marc--Das_Geht_Ab__Wir_Feiern_Die_Ganze_Nacht___Atz_hellip_.mp3,4
675,Keri Hilson,I Like - Jost Grubert Radio Mix,Music/MusicLoad/Keri_Hilson--I_Like_-_Jost__amp__Grubert_Radio_Mix.mp3,8
676,STROMAE,Alors On Danse,Music/MusicLoad/STROMAE--Alors_On_Danse.mp3,8
677,Owl City,Fireflies,Music/MusicLoad/Owl_City--Fireflies_-_Album_Version.mp3,8
678,Cheryl Cole,Fight For This Love,Music/MusicLoad/Cheryl_Cole--Fight_For_This_Love.mp3,8
680,Lady GaGa,Bad Romance,Music/MusicLoad/Lady_GaGa--Bad_Romance.mp3,8
681,Amy Macdonald,Dont Tell Me That Its Over,Music/MusicLoad/Amy_Macdonald--Don_t_Tell_Me_That_It_s_Over.mp3,8
682,Unheilig,Geboren um zu leben,Music/MusicLoad/Unheilig--Geboren_um_zu_leben.mp3,8
683,Aura Dione,I Will Love You Monday (365),Music/MusicLoad/Aura_Dione--I_Will_Love_You_Monday__365_.mp3,8
684,Stanfour,Wishing You Well,Music/MusicLoad/Stanfour--Wishing_You_Well_-_Radio_Version.mp3,8
685,OneRepublic,All The Right Moves,Music/MusicLoad/OneRepublic--All_The_Right_Moves.mp3,8
686,Culcha Candela,Monsta,Music/MusicLoad/Culcha_Candela--Monsta.mp3,8
687,Timbaland,If We Ever Meet Again,Music/MusicLoad/Timbaland--If_We_Ever_Meet_Again__Featuring_Katy_Perry_.mp3,8
688,Black Eyed Peas,I Gotta Feeling,Music/MusicLoad/Black_Eyed_Peas--I_Gotta_Feeling_-_Album_Version.mp3,8
689,Gossip,Heavy Cross,Music/MusicLoad/Gossip--Heavy_Cross_-_Album_Version.mp3,8
690,Rihanna,Rude Boy,Music/MusicLoad/Rihanna--Rude_Boy_-_Album_Version.mp3,8
692,Rihanna,Rude Boy,Music/MusicLoad/Rihanna--Rude_Boy_-_Explicit_Version.mp3,8
693,Revolverheld,Spinner,Music/MusicLoad/Revolverheld--Spinner.mp3,8
