id,artist,title,category_id,spotify_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence
248,B.B.King,The Thrill is Gone,1,3cg0dJfrQB66Qf2YthPb6G,0.0934,0.692,0.493,0.0017,9,0.128,0.7585,0.0325,0.3938,0.28
249,Led Zeppelin,I Can't Quit You Baby,1,62QInSlXQI11BR9ycVWjd6,0.525,0.506,0.434,0.0011,2,0.234,0.6561,0.129,0.366,0.498
250,Mamie Smith,Crazy Blues,1,5j6tQBJnNG4wLLdVISJ5g2,0.996,0.436,0.178,0.912,5,0.259,0.666,0.0448,0.5084,0.464
251,Robert Johnson,Hellhound On My Trail,1,2KkJj006V93x8d9dXpgmIg,0.976,0.546,0.169,0.0,6,0.133,0.6537,0.0377,0.4377,0.549
252,T-Bone Walker,Stormy Monday,1,1i7nQGgwloILcp6ZftH2Qa,0.545,0.606,0.301,0.0019,0,0.0419,0.7149,0.0423,0.459,0.457
253,Antonio Vivaldi,Four Seasons,2,0CubfbOcWH8CfLJgRSgZKS,0.865,0.281,0.0231,0.0002,5,0.456,0.3223,0.0497,0.5737,0.0636
254,Bach,Brandenburg Concerto 3,2,19DVA9L4jIN4FvbHmAaLqx,0.927,0.539,0.332,0.913,2,0.356,0.6157,0.05,0.4133,0.888
255,Beethoven,Symphony 5,2,6cUCckpdlqHJ5Ascf2uH2A,0.957,0.248,0.298,0.9,0,0.0943,0.6085,0.0395,0.4448,0.157
256,Franz Schubert,Trout Quintet,2,2qspLJIbR4qj4X17dZAB1u,0.95,0.325,0.0716,0.844,0,0.12,0.3299,0.0516,0.5516,0.148
257,George Gershwin,Rhapsody in Blue,2,0g7AZiNDzDuEYOwV27qoXb,0.976,0.309,0.258,0.69,9,0.0924,0.6168,0.0459,0.3389,0.115
258,Charlie Daniels Band,The Devil Went Down to Georgia,3,383Xl5QTigwj3QiA3Qc6S7,0.155,0.523,0.626,0.0,0,0.0869,0.7644,0.0523,0.6097,0.917
259,Hank Williams,Im So Lonesome I Could Cry,3,4tj7IsJrn4MvesuhoY0JBy,0.829,0.524,0.258,0.0016,4,0.328,0.6293,0.0287,0.5088,0.349
260,Johnny Cash,I Walk the Line,3,7hxZF4jETnE5Q75rKQnMjE,0.877,0.713,0.258,0.0061,9,0.0967,0.6352,0.0384,0.4491,0.56
