Context,Item_Rating_Pair
sunny,"(267,4);(266,5);(739,4);(276,4);(277,4);(262,5);(677,5);(750,5);(731,4);(752,5);(292,4);(254,5);(280,4);(249,5);(261,5);(293,5);(264,4);(259,5);(733,5);(254,4);(693,4);(258,4);(684,4);(716,5);(760,4);(681,5);(727,5);(714,5);(693,4);(746,4);(677,5);(288,5);(746,5);(754,4)"
snowing,"(259,4);(295,5);(736,4);(251,5);(689,4);(294,4);(291,4);(295,5);(276,5);(254,5);(283,5);(294,5);(250,5);(253,4);(693,4);(686,5);(761,4);(253,5);(761,4);(252,4);(684,4);(251,5)"
rainy,"(715,5);(702,4);(726,4);(256,4);(251,4);(292,4);(735,4);(275,5);(274,5);(250,4);(277,5);(291,5);(255,5);(733,5);(718,5);(746,5);(291,4);(737,5);(263,5);(744,4);(737,4);(289,4);(253,5)"
cloudy,"(259,4);(256,4);(264,4);(689,4);(250,4);(249,4);(273,5);(746,5);(286,4);(689,5);(733,4);(290,5);(251,5);(265,5);(249,5);(259,5);(260,5);(254,5);(295,4);(692,4);(675,4);(248,5);(266,4);(290,4);(250,4);(255,4);(742,4)"
traffic jam,"(263,5);(754,5);(725,4);(249,5);(273,4);(256,5);(293,5);(283,5);(253,5);(741,4);(725,4);(251,5);(747,5);(286,4);(674,4);(265,4);(276,5)"
lots of cars,"(285,4);(696,4);(249,4);(686,4);(253,5);(686,4);(694,4);(757,5);(742,4);(254,5);(280,4);(248,5);(262,5);(689,5);(273,5);(276,5);(294,5);(263,5);(258,4);(291,4);(282,4);(260,5);(741,4);(734,5);(692,4);(725,4);(696,4);(251,4);(252,4);(751,4);(722,4);(677,5);(749,5);(720,5);(685,5);(678,5)"
sleepy,"(708,5);(273,4);(745,4);(252,4);(266,4);(249,4);(253,4);(263,5);(266,4);(280,5);(252,5);(249,5);(255,5);(265,4);(252,4);(282,5);(269,4);(265,4);(690,4);(252,5);(255,4)"
awake,"(694,4);(266,4);(264,5);(269,4);(293,4);(260,4);(274,4);(254,5);(255,4);(273,5);(248,4);(746,5);(290,5);(251,5);(273,5);(265,5);(274,5);(264,4);(249,5);(250,5);(295,5);(751,4);(674,5);(265,4);(265,5)"
city,"(267,4);(683,4);(273,4);(759,4);(695,4);(270,4);(714,4);(274,5);(690,5);(686,4);(277,5);(289,5);(250,4);(255,5);(714,5);(688,4);(281,4);(284,4);(762,5);(746,4);(265,4);(742,4);(676,4);(269,5);(680,4);(709,4);(266,5);(285,5);(688,4);(276,4);(749,5)"
night,"(285,4);(279,4);(708,5);(753,4);(266,4);(263,4);(255,4);(253,5);(686,4);(720,5);(746,5);(735,4);(687,4);(289,5);(708,4);(255,5);(260,5);(720,4);(267,5);(267,5);(260,5);(250,5);(733,5);(725,4);(292,5);(717,4);(704,5);(291,5);(698,5);(690,4);(715,5);(752,4);(261,5);(690,4);(684,4);(749,5)"
morning,"(285,4);(264,5);(295,4);(679,5);(709,4);(259,5);(722,4);(290,5);(689,5);(253,5);(265,5);(250,5);(267,5);(255,5);(267,5);(253,5);(738,5);(751,4);(262,5);(744,4);(760,5);(719,4);(743,4);(685,5);(253,5);(753,4);(699,4)"
sad,"(760,5);(287,5);(748,4);(289,4);(276,5);(750,5);(256,4);(251,5);(249,5);(291,4);(293,5);(718,5);(734,5);(686,5);(282,5);(703,4);(715,4);(719,5);(251,5);(286,4);(746,4);(251,5);(254,4)"
lazy,"(758,4);(741,4);(696,4);(735,4);(248,5);(254,5);(257,4);(285,4);(250,5);(277,5);(252,5);(283,5);(707,4);(259,5);(253,4);(761,4);(698,4);(687,4);(751,5);(715,4);(754,4);(678,5);(746,5)"
