User,Context,Amount,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,valence
1001,sunny,1,0.15200,0.71500,0.95100,0.00000,6,0.30200,0.83780,0.13200,0.57560,0.67100
1001,snowing,1,0.82900,0.52400,0.25800,0.00160,4,0.32800,0.62930,0.02870,0.50880,0.34900
1001,rainy,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,cloudy,1,0.82900,0.52400,0.25800,0.00160,4,0.32800,0.62930,0.02870,0.50880,0.34900
1001,traffic jam,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,lots of cars,1,0.11100,0.76300,0.69300,0.00000,5,0.10100,0.90070,0.04380,0.52230,0.39900
1001,sleepy,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,awake,1,0.00150,0.54400,0.87000,0.00000,8,0.24600,0.84740,0.26000,0.59080,0.50200
1001,city,1,0.15200,0.71500,0.95100,0.00000,6,0.30200,0.83780,0.13200,0.57560,0.67100
1001,night,2,0.12430,1.09800,1.12200,0.08620,10,0.32000,1.65960,0.07680,1.07520,0.47690
1001,morning,1,0.11100,0.76300,0.69300,0.00000,5,0.10100,0.90070,0.04380,0.52230,0.39900
1001,sad,1,0.07170,0.51600,0.76400,0.00000,2,0.11500,0.84440,0.03660,0.67280,0.37600
1001,lazy,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,active,1,0.97600,0.54600,0.16900,0.00000,6,0.13300,0.65370,0.03770,0.43770,0.54900
1001,urban,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,mountains,2,0.12740,1.05300,1.73200,0.00570,11,0.59400,1.74080,0.19670,1.33530,1.25800
1001,country side,1,0.15200,0.71500,0.95100,0.00000,6,0.30200,0.83780,0.13200,0.57560,0.67100
1001,coast line,1,0.00150,0.54400,0.87000,0.00000,8,0.24600,0.84740,0.26000,0.59080,0.50200
1001,relaxed driving,1,0.82900,0.52400,0.25800,0.00160,4,0.32800,0.62930,0.02870,0.50880,0.34900
1001,free road,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,serpentine,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,highway,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,day time,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,afternoon,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,happy,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1001,sport driving,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1002,sunny,1,0.00500,0.69200,0.67900,0.00000,3,0.32700,0.83220,0.15500,0.40910,0.93400
1002,snowing,3,1.00610,1.63700,2.03200,0.27940,16,0.74200,2.29130,0.31090,2.16550,2.64800
1002,rainy,4,0.26430,2.51500,2.98400,0.00030,16,0.73560,3.37770,0.27830,2.24590,2.62900
1002,cloudy,2,1.04770,1.06200,0.93300,0.00000,8,0.24800,1.49810,0.07430,1.11050,0.92500
1002,traffic jam,1,0.03220,0.70300,0.82600,0.00630,10,0.17900,0.82050,0.03410,0.47070,0.94500
1002,lots of cars,2,0.01070,1.27200,1.50400,0.00000,7,0.12800,1.73320,0.06180,1.02250,1.07100
1002,sleepy,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1002,awake,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1002,city,2,0.98210,1.24400,0.96900,0.00000,7,0.15400,1.50490,0.06760,0.96020,1.25200
1002,night,1,0.18700,0.64200,0.63800,0.00030,9,0.24400,0.80400,0.02930,0.53630,0.58800
1002,morning,1,0.98700,0.37400,0.40500,0.91400,6,0.12700,0.61740,0.03650,0.78750,0.27400
1002,sad,1,0.00400,0.47000,0.79700,0.00000,7,0.12800,0.86720,0.04420,0.59010,0.15700
1002,lazy,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1002,active,1,0.03220,0.70300,0.82600,0.00630,10,0.17900,0.82050,0.03410,0.47070,0.94500
1002,urban,1,0.07170,0.51600,0.76400,0.00000,2,0.11500,0.84440,0.03660,0.67280,0.37600
1002,mountains,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
1002,country side,1,0.00060,0.66500,0.90300,0.00000,2,0.04960,0.89710,0.05740,0.62770,0.73100
1002,coast line,2,1.00820,1.24900,0.99500,0.00630,16,0.31200,1.47420,0.07180,0.90840,1.49400
1002,relaxed driving,0,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000
